IDCode,SiteCode,RefCode,BatGenus,BatSpecies,CurrentBatSpecies,TrophicGuild,PlantFamily,PlantGenus,PlantSpecies,CurrentPlantSpecies,LifeForm,SuccessionalStage,Interaction,Weight
BPI1239,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Unidentified,Unidentified,Unknown 15,Unidentified sp.3,NA,NA,Nectarivory,2
BPI1240,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Unidentified,Unidentified,Unknown 23,Unidentified sp.4,NA,NA,Nectarivory,2
BPI1241,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Muntingiaceae,Muntingia,Muntingia calabura,Muntingia calabura,Tree,NA,Frugivory,18
BPI1242,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Moraceae,Maclura,Chlorophora tinctora,Maclura tinctoria,Tree,Late,Frugivory,10
BPI1243,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Solanaceae,Solanum,Solanum hirtum,Solanum hirtum,Shrub,Early,Frugivory,27
BPI1244,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Solanaceae,Solanum,Solanum sp.,Solanum sp.,NA,NA,Frugivory,7
BPI1245,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Piperaceae,Piper,Piper tuberculatum,Piper tuberculatum,Shrub,Late,Frugivory,19
BPI1246,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,1
BPI1247,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,1
BPI1248,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Unidentified,Unidentified,Unknown 11,Unidentified sp.11,NA,NA,Frugivory,1
BPI1249,BPA068,BPR060,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Unidentified,Unidentified,Unknown 14,Unidentified sp.14,NA,NA,Frugivory,4
BPI1250,BPA069,BPR061,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Leguminosae,Bauhinia,Bauhinia ungulata,Bauhinia ungulata,Tree,Early,Nectarivory,NA
BPI1251,BPA069,BPR061,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Leguminosae,Bauhinia,Bauhinia ungulata,Bauhinia ungulata,Tree,Early,Nectarivory,NA
BPI1252,BPA070,BPR062,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Bromeliaceae,Vriesea,Vriesea moehringiana,Vriesea platynema,Herb,NA,Nectarivory,NA
BPI1253,BPA070,BPR062,Anoura,Anoura caudifer,Anoura caudifer,Nectarivore,Myrtaceae,Syzygium,Eugenia jambos,Syzygium jambos,Tree,Late,Nectarivory,NA
BPI1254,BPA071,BPR063,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Malvaceae,Helicteres,Helicteres baruensis,Helicteres baruensis,Shrub,NA,Nectarivory,NA
BPI1255,BPA072,BPR064,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Muntingiaceae,Muntingia,Muntingia calabura,Muntingia calabura,Tree,NA,Nectarivory,NA
BPI1256,BPA072,BPR064,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Moraceae,Maclura,Chlorophora tinctoria,Maclura tinctoria,Tree,Late,Nectarivory,NA
BPI1257,BPA072,BPR064,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Urticaceae,Cecropia,Cecropia peltata,Cecropia peltata,Tree,Early,Nectarivory,NA
BPI1258,BPA072,BPR064,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Moraceae,Ficus,Ficus ovalis,Ficus crassinervia,Tree,NA,Frugivory,NA
BPI1259,BPA072,BPR064,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper amalago,Piper amalago,Shrub,Early,Nectarivory,NA
BPI1260,BPA073,BPR065,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Frugivory,NA
BPI1261,BPA073,BPR065,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Nectarivory,NA
BPI1262,BPA073,BPR065,Leptonycteris,Leptonycteris curasoae,Leptonycteris yerbabuenae,Nectarivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Nectarivory,NA
BPI1263,BPA073,BPR065,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Frugivory,NA
BPI1264,BPA074,BPR066,Artibeus,Dermanura tolteca,Artibeus toltecus,Frugivore,Melastomataceae,Conostegia,Conostegia volcanalis,Conostegia volcanalis,Tree,NA,Frugivory,NA
BPI1265,BPA074,BPR066,Artibeus,Dermanura tolteca,Artibeus toltecus,Frugivore,Solanaceae,Solanum,Solanum aphyodendron,Solanum aphyodendron,Shrub,Early,Frugivory,NA
BPI1266,BPA074,BPR066,Artibeus,Dermanura tolteca,Artibeus toltecus,Frugivore,Solanaceae,Solanum,Solanum nigricans,Solanum nigricans,Shrub,Early,Frugivory,NA
BPI1267,BPA074,BPR066,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Melastomataceae,Conostegia,Conostegia volcanalis,Conostegia volcanalis,Tree,NA,Frugivory,NA
BPI1268,BPA074,BPR066,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Solanum,Solanum aphyodendron,Solanum aphyodendron,Shrub,Early,Frugivory,NA
BPI1269,BPA074,BPR066,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Solanum,Solanum nigricans,Solanum nigricans,Shrub,Early,Frugivory,NA
BPI1270,BPA075,BPR067,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Urticaceae,Cecropia,Cecropia obtusifolia,Cecropia obtusifolia,Tree,Early,Frugivory,NA
BPI1271,BPA075,BPR067,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,Tree,NA,Frugivory,NA
BPI1272,BPA075,BPR067,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,NA
BPI1273,BPA075,BPR067,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Urticaceae,Cecropia,Cecropia obtusifolia,Cecropia obtusifolia,Tree,Early,Frugivory,NA
BPI1274,BPA075,BPR067,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,Tree,NA,Frugivory,NA
BPI1275,BPA075,BPR067,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,NA
BPI1276,BPA076,BPR068,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus cotinifolia,Ficus cotinifolia,Tree,NA,Frugivory,NA
BPI1277,BPA076,BPR068,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus 1,Ficus sp.1,NA,NA,Frugivory,NA
BPI1278,BPA076,BPR068,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus 2,Ficus sp.2,NA,NA,Frugivory,NA
BPI1279,BPA076,BPR068,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus 3,Ficus sp.3,NA,NA,Frugivory,NA
BPI1280,BPA076,BPR068,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus insipida,Ficus insipida,Tree,Late,Frugivory,NA
BPI1281,BPA076,BPR068,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Cactaceae,Unidentified,Unidentified,Unidentified sp.1,NA,NA,Nectarivory,NA
BPI1282,BPA076,BPR068,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Convolvulaceae,Ipomoea,Ipomoea sp.,Ipomoea sp.,NA,NA,Nectarivory,NA
BPI1283,BPA076,BPR068,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Boraginaceae,Cordia,Cordia sp.,Cordia sp.,Tree,Early,Nectarivory,NA
BPI1284,BPA076,BPR068,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Malvaceae,Ceiba,Ceiba pentafila,Ceiba sp.,Tree,NA,Nectarivory,NA
BPI1285,BPA076,BPR068,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Unidentified,Unidentified,Unidentified,Unidentified sp.2,NA,NA,Nectarivory,NA
BPI1286,BPA076,BPR068,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Combretaceae,Combretum,Combretum sp.,Combretum sp.,NA,NA,Nectarivory,NA
BPI1287,BPA077,BPR069,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Leguminosae,Bauhinia,Bauhinia pauletia,Bauhinia pauletia,Tree,NA,Nectarivory,NA
BPI1288,BPA077,BPR069,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Bauhinia,Bauhinia pauletia,Bauhinia pauletia,Tree,NA,Nectarivory,NA
BPI1289,BPA078,BPR069,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Leguminosae,Bauhinia,Bauhinia multinervia,Bauhinia multinervia,Tree,NA,Nectarivory,NA
BPI1290,BPA078,BPR069,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Bauhinia,Bauhinia multinervia,Bauhinia multinervia,Tree,NA,Nectarivory,NA
BPI1291,BPA079,BPR070,Artibeus,Artibeus concolor,Artibeus concolor,Frugivore,Leguminosae,Parkia,Parkia pendula,Parkia pendula,Tree,Late,Nectarivory,NA
BPI1292,BPA079,BPR070,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Leguminosae,Parkia,Parkia pendula,Parkia pendula,Tree,Late,Nectarivory,NA
BPI1293,BPA079,BPR070,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Leguminosae,Parkia,Parkia nitida,Parkia nitida,Tree,Late,Nectarivory,NA
BPI1294,BPA079,BPR070,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Leguminosae,Parkia,Parkia nitida,Parkia nitida,Tree,Late,Nectarivory,NA
BPI1295,BPA079,BPR070,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Parkia,Parkia igneiflora,Parkia igneiflora,Tree,Late,Nectarivory,NA
BPI1296,BPA079,BPR070,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Parkia,Parkia nitida,Parkia nitida,Tree,Late,Nectarivory,NA
BPI1297,BPA079,BPR070,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Parkia,Parkia pendula,Parkia pendula,Tree,Late,Nectarivory,NA
BPI1298,BPA079,BPR070,Phyllostomus,Phyllostomus elongatus,Phyllostomus elongatus,Omnivore,Leguminosae,Parkia,Parkia pendula,Parkia pendula,Tree,Late,Nectarivory,NA
BPI1299,BPA079,BPR070,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Leguminosae,Parkia,Parkia igneiflora,Parkia igneiflora,Tree,Late,Nectarivory,NA
BPI1300,BPA079,BPR070,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Leguminosae,Parkia,Parkia nitida,Parkia nitida,Tree,Late,Nectarivory,NA
BPI1301,BPA079,BPR070,Uroderma,Uroderma bilobatum,Uroderma bilobatum,Frugivore,Leguminosae,Parkia,Parkia pendula,Parkia pendula,Tree,Late,Nectarivory,NA
BPI1302,BPA080,BPR070,Artibeus,Artibeus concolor,Artibeus concolor,Frugivore,Leguminosae,Parkia,Parkia cachimboensis,Parkia cachimboensis,Tree,Late,Nectarivory,NA
BPI1303,BPA080,BPR070,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Leguminosae,Parkia,Parkia cachimboensis,Parkia cachimboensis,Tree,Late,Nectarivory,NA
BPI1304,BPA080,BPR070,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Parkia,Parkia cachimboensis,Parkia cachimboensis,Tree,Late,Nectarivory,NA
BPI1305,BPA080,BPR070,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Leguminosae,Parkia,Parkia cachimboensis,Parkia cachimboensis,Tree,Late,Nectarivory,NA
BPI1306,BPA081,BPR070,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Parkia,Parkia platycephala,Parkia platycephala,Tree,Late,Nectarivory,NA
BPI1307,BPA082,BPR071,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Malvaceae,Bombax,Bombax sp.,Bombax sp.,Tree,NA,Nectarivory,1
BPI1308,BPA082,BPR071,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Malvaceae,Ceiba,Ceiba sp.,Ceiba sp.,Tree,NA,Nectarivory,1
BPI1309,BPA082,BPR071,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Chrysobalanaceae,Licania,Licania sp.,Licania sp.,NA,NA,Frugivory,3
BPI1310,BPA082,BPR071,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Rubiaceae,Genipa,Genipa sp.,Genipa sp.,Tree,NA,Frugivory,1
BPI1311,BPA082,BPR071,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Muntingiaceae,Muntingia,Muntingia sp.,Muntingia sp.,Tree,NA,Frugivory,2
BPI1312,BPA082,BPR071,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Leguminosae,Hymenaea,Hymenaea sp.,Hymenaea sp.,Tree,NA,Nectarivory,2
BPI1313,BPA082,BPR071,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Brosimum,Brosimum sp.,Brosimum sp.,Tree,Late,Frugivory,27
BPI1314,BPA082,BPR071,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,Tree,NA,Frugivory,2
BPI1315,BPA082,BPR071,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,1
BPI1316,BPA082,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,8
BPI1317,BPA082,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,4
BPI1318,BPA082,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Olacaceae,Heisteria,Heisteria sp.,Heisteria sp.,NA,NA,Frugivory,1
BPI1319,BPA082,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Chrysobalanaceae,Licania,Licania sp.,Licania sp.,NA,NA,Frugivory,1
BPI1320,BPA082,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Solanaceae,Solanum,Solanum sp.,Solanum sp.,Shrub,NA,Frugivory,4
BPI1321,BPA082,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Anacardiaceae,Mangifera,Mangifera sp.,Mangifera sp.,Tree,NA,Frugivory,2
BPI1322,BPA082,BPR071,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Muntingiaceae,Muntingia,Muntingia sp.,Muntingia sp.,Tree,NA,Nectarivory,3
BPI1323,BPA082,BPR071,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Leguminosae,Inga,Inga sp.,Inga sp.,Tree,NA,Nectarivory,2
BPI1324,BPA082,BPR071,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Bignoniaceae,Crescentia,Crescentia sp.,Crescentia sp.,Tree,NA,Nectarivory,7
BPI1325,BPA082,BPR071,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Hymenaea,Hymenaea sp.,Hymenaea sp.,Tree,NA,Nectarivory,2
BPI1326,BPA082,BPR071,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Malvaceae,Ceiba,Ceiba sp.,Ceiba sp.,Tree,NA,Nectarivory,1
BPI1327,BPA082,BPR071,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,3
BPI1328,BPA082,BPR071,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Muntingiaceae,Muntingia,Muntingia sp.,Muntingia sp.,Tree,NA,Frugivory,3
BPI1329,BPA082,BPR071,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Chrysobalanaceae,Licania,Licania sp.,Licania sp.,NA,NA,Frugivory,3
BPI1330,BPA082,BPR071,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Solanaceae,Solanum,Solanum sp.,Solanum sp.,Shrub,NA,Frugivory,2
BPI1331,BPA082,BPR071,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Malvaceae,Ceiba,Ceiba sp.,Ceiba sp.,Tree,NA,Nectarivory,1
BPI1332,BPA082,BPR071,Lophostoma,Tonatia sylvicola,Lophostoma silvicola,Nectarivore,Apocynaceae,Tabernaemontana,Stemmadenia sp.,Tabernaemontana sp.,Shrub,NA,Frugivory,1
BPI1333,BPA082,BPR071,Uroderma,Uroderma bilobatum,Uroderma convexum,Frugivore,Moraceae,Brosimum,Brosimum sp.,Brosimum sp.,Tree,Late,Frugivory,1
BPI1334,BPA083,BPR071,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,1
BPI1335,BPA083,BPR071,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,6
BPI1336,BPA083,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,4
BPI1337,BPA083,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Solanaceae,Acnistus,Acnistus sp.,Acnistus sp.,Tree,Early,Frugivory,1
BPI1338,BPA083,BPR071,Glossophaga,Glossophaga commissarisi,Glossophaga commissarisi,Nectarivore,Solanaceae,Acnistus,Acnistus sp.,Acnistus sp.,Tree,Early,Frugivory,2
BPI1339,BPA083,BPR071,Glossophaga,Glossophaga commissarisi,Glossophaga commissarisi,Nectarivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Nectarivory,1
BPI1340,BPA083,BPR071,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Leguminosae,Mucuna,Mucuna sp.,Mucuna sp.,Vine,NA,Nectarivory,5
BPI1341,BPA083,BPR071,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Bromeliaceae,Pitcairnia,Pitcairnia sp.,Pitcairnia sp.,Herb,NA,Nectarivory,1
BPI1342,BPA083,BPR071,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Frugivory,1
BPI1343,BPA083,BPR071,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Solanaceae,Acnistus,Acnistus sp.,Acnistus sp.,Tree,Early,Frugivory,12
BPI1344,BPA083,BPR071,Lonchophylla,Lonchophylla concava,Lonchophylla concava,Nectarivore,Leguminosae,Mucuna,Mucuna sp.,Mucuna sp.,Vine,NA,Nectarivory,1
BPI1345,BPA083,BPR071,Lonchophylla,Lonchophylla concava,Lonchophylla concava,Nectarivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Nectarivory,2
BPI1346,BPA083,BPR071,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,2
BPI1347,BPA083,BPR071,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Solanaceae,Acnistus,Acnistus sp.,Acnistus sp.,Tree,Early,Frugivory,1
BPI1348,BPA083,BPR071,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Frugivory,1
BPI1349,BPA083,BPR071,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,2
BPI1350,BPA083,BPR071,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,2
BPI1351,BPA083,BPR071,Sturnira,Sturnira lilium,Sturnira parvidens,Frugivore,Solanaceae,Acnistus,Acnistus sp.,Acnistus sp.,Tree,Early,Frugivory,10
BPI1352,BPA083,BPR071,Sturnira,Sturnira mordax,Sturnira mordax,Frugivore,Campanulaceae,Centropogon,Centropogon sp.,Centropogon sp.,Shrub,NA,Frugivory,3
BPI1353,BPA083,BPR071,Sturnira,Sturnira mordax,Sturnira mordax,Frugivore,Araceae,Anthurium,Anthurium sp.,Anthurium sp.,Vine,Late,Frugivory,1
BPI1354,BPA083,BPR071,Sturnira,Sturnira mordax,Sturnira mordax,Frugivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Frugivory,1
BPI1355,BPA083,BPR071,Sturnira,Sturnira mordax,Sturnira mordax,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,2
BPI1356,BPA083,BPR071,Uroderma,Uroderma bilobatum,Uroderma convexum,Frugivore,Moraceae,Brosimum,Brosimum sp.,Brosimum sp.,Tree,Late,Frugivory,1
BPI1357,BPA083,BPR071,Vampyressa,Vampyressa pusilla,Vampyressa thyone,Frugivore,Solanaceae,Acnistus,Acnistus sp.,Acnistus sp.,Tree,Early,Frugivory,5
BPI1358,BPA083,BPR071,Platyrrhinus,Vampyrops helleri,Platyrrhinus helleri,Frugivore,Solanaceae,Acnistus,Acnistus sp.,Acnistus sp.,Tree,Early,Frugivory,8
BPI1359,BPA083,BPR071,Platyrrhinus,Vampyrops helleri,Platyrrhinus helleri,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,2
BPI1360,BPA083,BPR071,Platyrrhinus,Vampyrops vittatus,Platyrrhinus vittatus,Frugivore,Solanaceae,Acnistus,Acnistus sp.,Acnistus sp.,Tree,Early,Frugivory,1
BPI1361,BPA083,BPR071,Platyrrhinus,Vampyrops vittatus,Platyrrhinus vittatus,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,1
BPI1362,BPA084,BPR071,Artibeus,Artibeus watsoni,Artibeus watsoni,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,2
BPI1363,BPA084,BPR071,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper auritum,Piper auritum,Shrub,Early,Frugivory,3
BPI1364,BPA084,BPR071,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,5
BPI1365,BPA084,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,2
BPI1366,BPA084,BPR071,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,5
BPI1367,BPA084,BPR071,Glossophaga,Glossophaga commissarisi,Glossophaga commissarisi,Nectarivore,Leguminosae,Mucuna,Mucuna sp.,Mucuna sp.,Vine,NA,Nectarivory,1
BPI1368,BPA084,BPR071,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Nectarivory,3
BPI1369,BPA084,BPR071,Lonchophylla,Lonchophylla concava,Lonchophylla concava,Nectarivore,Musaceae,Musa,Musa sp.,Musa sp.,Herb,NA,Nectarivory,2
BPI1370,BPA084,BPR071,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,3
BPI1371,BPA085,BPR072,Choeronycteris,Choeronycteris mexicana,Choeronycteris mexicana,Nectarivore,Cactaceae,Stenocereus,Stenocereus queretaroensis,Stenocereus queretaroensis,Succulent,NA,Nectarivory,NA
BPI1372,BPA085,BPR072,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Cactaceae,Stenocereus,Stenocereus queretaroensis,Stenocereus queretaroensis,Succulent,NA,Nectarivory,NA
BPI1373,BPA085,BPR072,Leptonycteris,Leptonycteris curasoae,Leptonycteris yerbabuenae,Nectarivore,Cactaceae,Stenocereus,Stenocereus queretaroensis,Stenocereus queretaroensis,Succulent,NA,Nectarivory,NA
BPI1374,BPA086,BPR073,Anoura,Anoura geoffrogyii,Anoura geoffroyi,Nectarivore,Polemoniaceae,Cobaea,Cobaea aschersoniana,Cobaea aschersoniana,Vine,NA,Nectarivory,NA
BPI1375,BPA087,BPR074,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Solanaceae,Solanum,Solanum riparium,Solanum riparium,Shrub,Early,Frugivory,NA
BPI1376,BPA088,BPR075,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Leguminosae,Andira,Andira inermis,Andira inermis,Tree,Early,Frugivory,NA
BPI1377,BPA089,BPR076,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,NA
BPI1378,BPA089,BPR076,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Myrtaceae,Psidium,Psidium guajava,Psidium guajava,Tree,Late,Frugivory,NA
BPI1379,BPA089,BPR076,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Sapotaceae,Manilkara,Achras sapota,Manilkara zapota,Tree,Late,Frugivory,NA
BPI1380,BPA090,BPR077,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Cucurbitaceae,Gurania,Gurania lobata,Gurania lobata,Vine,NA,Frugivory,NA
BPI1381,BPA091,BPR078,Monophyllus,Monophyllus redmani,Monophyllus redmani,Nectarivore,Passifloraceae,Passiflora,Passiflora penduliflora,Passiflora penduliflora,Vine,Late,Nectarivory,NA
BPI1382,BPA092,BPR079,Artibeus,Artibeus watsoni,Artibeus watsoni,Frugivore,Moraceae,Ficus,Ficus citrifolia,Ficus citrifolia,Tree,Late,Frugivory,NA
