IDCode,SiteCode,RefCode,BatGenus,BatSpecies,CurrentBatSpecies,TrophicGuild,PlantFamily,PlantGenus,PlantSpecies,CurrentPlantSpecies,LifeForm,SuccessionalStage,Interaction,Weight
BPI0099,BPA012,BPR011,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Ficus,Ficus insipida,Ficus insipida,Tree,Late,Frugivory,NA
BPI0100,BPA012,BPR011,Artibeus,Artibeus watsoni,Artibeus watsoni,Frugivore,Moraceae,Ficus,Ficus insipida,Ficus insipida,Tree,Late,Frugivory,NA
BPI0101,BPA013,BPR012,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Piperaceae,Piper,Piper arboreum,Piper arboreum,Shrub,Early,Frugivory,NA
BPI0102,BPA013,BPR012,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper arboreum,Piper arboreum,Shrub,Early,Frugivory,NA
BPI0103,BPA013,BPR012,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Piperaceae,Piper,Piper arboreum,Piper arboreum,Shrub,Early,Frugivory,NA
BPI0104,BPA013,BPR012,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Piperaceae,Piper,Piper arboreum,Piper arboreum,Shrub,Early,Frugivory,NA
BPI0105,BPA014,BPR013,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Anacardiaceae,Spondias,Spondias sp.,Spondias sp.,Tree,NA,Frugivory,15
BPI0106,BPA014,BPR013,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Malvaceae,Quararibea,Quararibea asterolepis,Quararibea asterolepis,Tree,Late,Frugivory,9
BPI0107,BPA014,BPR013,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,3
BPI0108,BPA014,BPR013,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Leguminosae,Dipteryx,Dipteryx panamensis,Dipteryx oleifera,Tree,Early,Frugivory,NA
BPI0109,BPA014,BPR013,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus insipida,Ficus insipida,Tree,Late,Frugivory,185
BPI0110,BPA014,BPR013,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,141
BPI0111,BPA014,BPR013,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Anacardiaceae,Spondias,Spondias sp.,Spondias sp.,Tree,NA,Frugivory,3
BPI0112,BPA014,BPR013,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Leguminosae,Dipteryx,Dipteryx panamensis,Dipteryx oleifera,Tree,Early,Frugivory,NA
BPI0113,BPA014,BPR013,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Ficus,Ficus insipida,Ficus insipida,Tree,Late,Frugivory,20
BPI0114,BPA014,BPR013,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,13
BPI0115,BPA014,BPR013,Artibeus,Artibeus phaeotis,Artibeus phaeotis,Frugivore,Anacardiaceae,Spondias,Spondias radlkoferi,Spondias radlkoferi,Tree,Early,Frugivory,33
BPI0116,BPA014,BPR013,Artibeus,Artibeus phaeotis,Artibeus phaeotis,Frugivore,Anacardiaceae,Spondias,Spondias sp.,Spondias sp.,Tree,NA,Frugivory,8
BPI0117,BPA014,BPR013,Artibeus,Artibeus phaeotis,Artibeus phaeotis,Frugivore,Urticaceae,Cecropia,Cecropia eximia,Cecropia insignis,Tree,Early,Frugivory,6
BPI0118,BPA014,BPR013,Artibeus,Artibeus phaeotis,Artibeus phaeotis,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,6
BPI0119,BPA014,BPR013,Artibeus,Artibeus phaeotis,Artibeus phaeotis,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,9
BPI0120,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Bromeliaceae,Aechmea,Aechmea tillandsioides,Aechmea tillandsioides,Herb,Late,Frugivory,1
BPI0121,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Hypericaceae,Vismia,Vismia 1,Vismia sp. 1,Tree,Early,Frugivory,3
BPI0122,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Cyclanthaceae,Carludovica,Carludovica palmata,Carludovica palmata,Shrub,NA,Frugivory,1
BPI0123,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Leguminosae,Dipteryx,Dipteryx panamensis,Dipteryx oleifera,Tree,Early,Frugivory,1
BPI0124,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Moraceae,Brosimum,Brosimum bernadetteae,Brosimum alicastrum,Tree,Late,Frugivory,1
BPI0125,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper aequale,Piper aequale,Shrub,Early,Frugivory,15
BPI0126,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper carrilloanum,Piper carrilloanum,Shrub,Early,Frugivory,2
BPI0127,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper cordulatum,Piper cordulatum,Shrub,Late,Frugivory,9
BPI0128,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper marginatum,Piper marginatum,Shrub,Early,Frugivory,6
BPI0129,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper reticulatum,Piper reticulatum,Shrub,Early,Frugivory,5
BPI0130,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper 109,Piper sp.1,Shrub,NA,Frugivory,4
BPI0131,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Solanaceae,Markea,Markea panamensis,Markea panamensis,Shrub,Early,Frugivory,11
BPI0132,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Solanaceae,Solanum,Solanum hayesii,Solanum hayesii,Tree,Early,Frugivory,2
BPI0133,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper 114,Piper sp.2,Shrub,NA,Frugivory,1
BPI0134,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper 120,Piper sp.4,Shrub,NA,Frugivory,2
BPI0135,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Piperaceae,Piper,Piper 122,Piper sp.6,Shrub,NA,Frugivory,3
BPI0136,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Unidentified,Unidentified,Unknown 104,Unidentified sp.3,NA,NA,Frugivory,1
BPI0137,BPA014,BPR013,Carollia,Carollia castanea,Carollia castanea,Frugivore,Unidentified,Unidentified,Unknown 123,Unidentified sp.4,NA,NA,Frugivory,1
BPI0138,BPA014,BPR013,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Anacardiaceae,Anacardium,Anacardium excelsum,Anacardium excelsum,Tree,Early,Frugivory,NA
BPI0139,BPA014,BPR013,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Malvaceae,Quararibea,Quararibea asterolepis,Quararibea asterolepis,Tree,Late,Frugivory,6
BPI0140,BPA014,BPR013,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Leguminosae,Senna,Cassia undulata,Senna undulata,Shrub,NA,Frugivory,3
BPI0141,BPA014,BPR013,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Urticaceae,Cecropia,Cecropia eximia,Cecropia insignis,Tree,Early,Frugivory,3
BPI0142,BPA014,BPR013,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Hypericaceae,Vismia,Vismia 1,Vismia sp.1,Tree,Early,Frugivory,9
BPI0143,BPA014,BPR013,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Cyclanthaceae,Carludovica,Carludovica palmata,Carludovica palmata,Shrub,NA,Frugivory,1
BPI0144,BPA014,BPR013,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Leguminosae,Dipteryx,Dipteryx panamensis,Dipteryx oleifera,Tree,Early,Frugivory,8
BPI0145,BPA014,BPR013,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Moraceae,Brosimum,Brosimum bernadetteae,Brosimum alicastrum,Tree,Late,Frugivory,3
