"Species","Category","Code"
"Mucuna sp.","Not Evaluated","NE"
"Pitcairnia sp.","Not Evaluated","NE"
"Centropogon sp.","Not Evaluated","NE"
"Stenocereus queretaroensis","Least Concern","LC"
"Cobaea aschersoniana","Not Evaluated","NE"
"Gurania lobata","Not Evaluated","NE"
"Passiflora penduliflora","Not Evaluated","NE"
"Phenakospermum guyannense","Not Evaluated","NE"
"Agave desmettiana","Not Evaluated","NE"
"Cereus repandus","Least Concern","LC"
"Calliandra laxa","Least Concern","LC"
"Thunbergia grandiflora","Not Evaluated","NE"
"Piper gaudichaudianum","Not Evaluated","NE"
"Crescentia alata","Least Concern","LC"
"Ipomoea ampullacea","Not Evaluated","NE"
"Agave ortgiesiana","Least Concern","LC"
"Cucurbita argyrosperma","Least Concern","LC"
"Hesperalbizia occidentalis","Not Evaluated","NE"
"Zapoteca formosa","Least Concern","LC"
"Cyathula prostrata","Not Evaluated","NE"
"Piper bartlingianum","Not Evaluated","NE"
"Solanum rudepannum","Least Concern","LC"
"Pilosocereus catingicola","Least Concern","LC"
"Ficus cahuitensis","Least Concern","LC"
"Piper multiplinervium","Not Evaluated","NE"
"Piper sancti-felicis","Not Evaluated","NE"
"Piper friedrichsthalii ","Least Concern","LC"
"Senna fruticosa","Least Concern","LC"
"Hernandia stenura","Near Threatened","NT"
"Merinthopodium neuranthum","Not Evaluated","NE"
"Piper glabratum","Not Evaluated","NE"
"Quararibea parviflora","Not Evaluated","NE"
"Symphonia globulifera","Least Concern","LC"
"Solanum arboreum","Least Concern","LC"
"Clarisia biflora","Least Concern","LC"
"Hernandia didymantha","Near Threatened","NT"
"Piper trigonum","Not Evaluated","NE"
"Piper augustum","Least Concern","LC"
"Passiflora sp.","Not Evaluated","NE"
"Annona sp.","Not Evaluated","NE"
"Adenocalymma dichilum","Not Evaluated","NE"
"Chelonanthus alatus","Not Evaluated","NE"
"Hibiscus elatus","Least Concern","LC"
"Cecropia schreberiana","Not Evaluated","NE"
"Spathodea campanulata","Least Concern","LC"
"Hibiscus rosa-sinensis","Not Evaluated","NE"
"Hibiscus sp.","Not Evaluated","NE"
"Conostegia xalapensis","Least Concern","LC"
"Lantana trifolia","Not Evaluated","NE"
"Chrysophyllum oliviforme","Not Evaluated","NE"
"Piper mollicomum","Not Evaluated","NE"
"Solanum variabile","Least Concern","LC"
"Passiflora amethystina","Not Evaluated","NE"
"Solanum erianthum","Not Evaluated","NE"
"Vismia cayennensis","Not Evaluated","NE"
"Stenocereus griseus","Least Concern","LC"
"Cereus horrispinus","Near Threatened","NT"
"Pilosocereus moritzianus","Not Evaluated","NE"
"Agave cocui","Least Concern","LC"
"Cynophalla flexuosa","Least Concern","LC"
"Lecythis zabucajo","Least Concern","LC"
"Lycianthes glandulosa ","Not Evaluated","NE"
"Solanum caavurana","Least Concern","LC"
"Agave vivipara","Vulnerable","VU"
"Agave subsimplex","Vulnerable","VU"
"Centropogon nigricans","Not Evaluated","NE"
"Burmeistera borjensis","Not Evaluated","NE"
"Burmeistera ceratocarpa","Not Evaluated","NE"
"Burmeistera sodiroana","Least Concern","LC"
"Burmeistera succulenta","Not Evaluated","NE"
"Burmeistera multiflora","Not Evaluated","NE"
"Burmeistera rubrosepala","Critically Endangered","CR"
"Burmeistera lutosa","Not Evaluated","NE"
"Burmeistera smaragdi","Not Evaluated","NE"
"Burmeistera cylindrocarpa","Vulnerable","VU"
"Eriotheca squamigera","Not Evaluated","NE"
"Pitcairnia brongniartiana","Not Evaluated","NE"
"Burmeistera truncata","Vulnerable","VU"
"Clusia sp.","Not Evaluated","NE"
"Marcgravia coriacea","Not Evaluated","NE"
"Meriania pichinchensis","Vulnerable","VU"
"Markea sp.","Not Evaluated","NE"
"Burmeistera sp.","Not Evaluated","NE"
"Solanum sanctae-catharinae","Not Evaluated","NE"
"Pilosocereus lanuginosus","Least Concern","LC"
"Roystonea borinquena","Not Evaluated","NE"
"Thespesia populnea","Least Concern","LC"
"Ficus cyclophylla","Endangered","EN"
"Solanum americanum","Not Evaluated","NE"
"Solanum torvum","Not Evaluated","NE"
"Solanum ochraceo-ferrugineum","Not Evaluated","NE"
"Physalis angulata","Least Concern","LC"
"Capsicum annuum","Least Concern","LC"
"Clidemia sp.","Not Evaluated","NE"
"Piper nigrum","Not Evaluated","NE"
"Solanum quitoense","Not Evaluated","NE"
"Ficus sp. 2","Not Evaluated","NE"
"Lycianthes multiflora","Not Evaluated","NE"
"Piper cenocladum","Not Evaluated","NE"
"Musa paradisiaca","Not Evaluated","NE"
"Prunus persica","Not Evaluated","NE"
"Eugenia uniflora","Not Evaluated","NE"
"Piper divaricatum","Not Evaluated","NE"
"Vassobia breviflora","Least Concern","LC"
"Solanum scuticum","Not Evaluated","NE"
"Rubus brasiliensis","Not Evaluated","NE"
"Solanum megalochiton","Not Evaluated","NE"
"Solanum paranense","Least Concern","LC"
"Philodendron appendiculatum","Not Evaluated","NE"
"Aureliana sp.","Not Evaluated","NE"
"Solanum cinnamomeum","Conservation Dependent","CD"
"Solanum rufescens","Least Concern","LC"
"Solanum subsylvestre","Not Evaluated","NE"
"Solanum swartzianum","Least Concern","LC"
"Copaifera langsdorffii","Least Concern","LC"
"Miconia albicans","Least Concern","LC"
"Solanum paniculatum","Least Concern","LC"
"Bauhinia rufa","Least Concern","LC"
"Luehea paniculata","Least Concern","LC"
"Syzygium cumini","Least Concern","LC"
"Couma utilis","Not Evaluated","NE"
"Tovomita sp.","Not Evaluated","NE"
"Vismia glabra","Not Evaluated","NE"
"Byrsonima sp.","Not Evaluated","NE"
"Cecropia concolor","Not Evaluated","NE"
"Myrcia paivae","Least Concern","LC"
"Psidium guineense","Least Concern","LC"
"Piper cyrtopodon","Not Evaluated","NE"
"Solanum grandiflorum","Not Evaluated","NE"
"Solanum salviaefolium","Not Evaluated","NE"
"Poraqueiba sericea","Least Concern","LC"
"Ficus clusiifolia","Not Evaluated","NE"
"Siparuna sp.","Not Evaluated","NE"
"Rollinia mucosa","Not Evaluated","NE"
"Pilosocereus sp.","Not Evaluated","NE"
"Praecereus euchlorus smithianus","Not Evaluated","NE"
"Weberbauerocereus weberbaueri","Least Concern","LC"
"Sinningia brasiliensis","Not Evaluated","NE"
"Paliavana prasinata","Not Evaluated","NE"
"Passiflora mucronata","Not Evaluated","NE"
"Musa acuminata","Least Concern","LC"
"Lafoensia pacari","Least Concern","LC"
"Lafoensia glyptocarpa","Not Evaluated","NE"
"Marcgravia myriostigma","Not Evaluated","NE"
"Luehea speciosa","Least Concern","LC"
"Encholirium subsecundum","Not Evaluated","NE"
"Siphocampylus sulfureus","Not Evaluated","NE"
"Inga uruguensis","Not Evaluated","NE"
"Vriesea bituminosa","Least Concern","LC"
"Vriesea sazimae","Not Evaluated","NE"
"Lafoensia vandelliana","Not Evaluated","NE"
"Vriesea gigantea","Not Evaluated","NE"
"Vriesea longiscapa","Not Evaluated","NE"
"Mucuna urens","Not Evaluated","NE"
"Marcgravia polyantha","Not Evaluated","NE"
"Hillia illustris","Not Evaluated","NE"
"Dyssochroma viridiflora","Not Evaluated","NE"
"Pseudobombax grandiflorum","Not Evaluated","NE"
"Agave palmeri","Least Concern","LC"
"Pilosocereus tillianus","Endangered","EN"
"Agave sp.","Not Evaluated","NE"
"Mabea occidentalis","Not Evaluated","NE"
"Piper sp. 1","Not Evaluated","NE"
"Piper sp. 2","Not Evaluated","NE"
"Vismia magnoliifolia","Not Evaluated","NE"
"Piper darienense","Not Evaluated","NE"
"Weberocereus tunilla","Least Concern","LC"
"Vriesea sp.","Not Evaluated","NE"
"Mucuna holtonii","Not Evaluated","NE"
"Quararibea ochrocalyx","Not Evaluated","NE"
"Quararibea cordata","Not Evaluated","NE"
"Marcgravia sp.","Not Evaluated","NE"
"Matisia bracteolosa","Least Concern","LC"
"Quararibea parvifolia","Not Evaluated","NE"
"Vriesea gladioliflora","Not Evaluated","NE"
"Marcgravia nervosa","Not Evaluated","NE"
"Marcgravia serrae","Not Evaluated","NE"
"Marcgravia nepenthoides","Not Evaluated","NE"
"Marcgravia mexicana","Not Evaluated","NE"
"Weberocereus trichophorus","Endangered","EN"
"Weberocereus biolleyi","Not Evaluated","NE"
"Marcgravia pittieri","Not Evaluated","NE"
"Vismia lauriformis","Least Concern","LC"
"Pilosocereus chrysacanthus","Least Concern","LC"
"Pachycereus weberi","Least Concern","LC"
"Pachycereus pecten-aboriginum","Least Concern","LC"
"Harpochilus neesianus","Not Evaluated","NE"
"Mimosa lewisii","Not Evaluated","NE"
"Maclura sp.","Not Evaluated","NE"
"Beilschmiedia sp.","Not Evaluated","NE"
"Calycolpus warszewiczianus","Least Concern","LC"
"Eugenia nesiotica","Not Evaluated","NE"
"Andira sp.","Not Evaluated","NE"
"Livistona chinensis ","Not Evaluated","NE"
